caldt,t90ret,t30ret
19251231,,
19260130,0.004042,0.002951
19260227,0.003237,0.002768
19260331,0.002778,0.002778
19260430,0.003072,0.003072
19260528,0.001965,0.000342
19260630,0.003459,0.003459
19260731,0.002243,0.002243
19260831,0.002069,0.002536
19260930,0.002273,0.002273
19261030,0.003195,0.003195
19261130,0.004337,0.003093
19261231,0.002778,0.002778
19270131,0.001413,0.002463
19270228,0.002524,0.002570
19270331,0.002959,0.002959
19270430,0.002546,0.002546
19270531,0.003667,0.003008
19270630,0.002583,0.002583
19270730,0.002991,0.002991
19270831,0.002963,0.002757
19270930,0.002096,0.002096
19271031,0.002520,0.002520
19271130,0.001997,0.002086
19271231,0.002230,0.002230
19280131,0.002225,0.002225
19280229,0.002774,0.003294
19280331,0.002936,0.002936
19280430,0.002224,0.002224
19280531,0.001536,0.002920
19280630,0.003122,0.003122
19280731,0.003226,0.003226
19280831,0.003849,0.003216
19280929,0.002723,0.002723
19281031,0.004378,0.004378
19281130,0.011137,0.003874
19281231,0.003451,0.003451
19290131,0.002734,0.003332
19290228,0.004224,0.003508
19290328,0.003431,0.003431
19290430,0.003567,0.003567
19290531,0.003884,0.004388
19290629,0.005193,0.005193
19290731,0.003345,0.003345
19290830,0.004720,0.004030
19290930,0.003573,0.003573
19291031,0.004796,0.004796
19291127,0.005018,0.003547
19291231,0.003661,0.003661
19300131,0.000088,0.001393
19300228,0.004951,0.002964
19300331,0.003475,0.003475
19300430,0.002104,0.002104
19300529,0.005098,0.002581
19300630,0.002693,0.002693
19300731,0.001984,0.001984
19300829,0.001312,0.000580
19300930,0.002192,0.002192
19301031,0.000866,0.000866
19301129,0.000999,0.000999
19301231,0.001398,0.001398
19310131,0.002737,0.000555
19310228,0.000407,0.000407
19310331,0.000755,0.001887
19310430,0.001123,0.000827
19310529,0.000687,0.000875
19310630,0.000890,0.000504
19310731,0.000324,0.000591
19310831,0.000310,0.000388
19310930,-0.001059,0.000417
19311031,-0.000288,0.000812
19311130,0.002097,0.001669
19311231,-0.000929,0.001252
19320130,0.000523,0.002367
19320229,0.000930,0.001447
19320331,0.001706,0.001147
19320430,0.002487,0.001145
19320531,0.001033,0.000445
19320630,0.000271,0.000220
19320730,0.000292,0.000250
19320831,0.000411,0.000267
19320930,0.000483,0.000309
19321031,0.000213,0.000178
19321130,0.000224,0.000146
19321231,0.000108,0.000108
19330131,0.000108,0.000108
19330228,-0.000615,-0.000265
19330331,-0.000024,0.000420
19330429,0.002990,0.000978
19330531,0.000765,0.000389
19330630,0.000377,0.000236
19330731,0.000175,0.000191
19330831,0.000509,0.000229
19330930,0.000229,0.000151
19331031,-0.000112,0.000111
19331129,0.000006,0.000181
19331230,0.000241,0.000201
19340131,0.000907,0.000422
19340228,0.001052,0.000248
19340331,0.000532,0.000210
19340430,0.000062,0.000062
19340531,0.000065,0.000065
19340630,0.000063,0.000062
19340731,0.000065,0.000067
19340831,0.000065,0.000065
19340929,0.000044,0.000058
19341031,0.000150,0.000089
19341130,0.000104,0.000083
19341231,0.000188,0.000115
19350131,-0.000067,0.000063
19350228,0.000242,0.000172
19350330,0.000125,0.000142
19350430,0.000129,0.000133
19350531,0.000129,0.000150
19350629,0.000121,0.000138
19350731,0.000133,0.000133
19350831,0.000129,0.000146
19350930,0.000125,0.000125
19351030,0.000167,0.000125
19351130,0.000256,0.000239
19351231,0.000129,0.000086
19360131,0.000129,0.000129
19360229,0.000161,0.000121
19360331,0.000172,0.000172
19360430,0.000167,0.000167
19360529,0.000161,0.000161
19360630,0.000306,0.000306
19360731,0.000129,0.000129
19360831,0.000145,0.000171
19360930,0.000098,0.000083
19361031,0.000289,0.000197
19361130,0.000083,0.000083
19361231,0.000018,0.000028
19370130,0.000126,0.000113
19370227,0.000171,0.000171
19370331,-0.000167,0.000141
19370430,0.000501,0.000486
19370528,0.000892,0.000634
19370630,0.000600,0.000275
19370731,0.000385,0.000321
19370831,0.000149,0.000267
19370930,0.000720,0.000367
19371030,0.000258,0.000167
19371130,0.000482,0.000196
19371231,0.000316,0.000044
19380131,0.000151,0.000034
19380228,0.000206,0.000048
19380331,0.000026,0.000025
19380430,0.000192,0.000123
19380531,0.000095,-0.000060
19380630,0.000009,0.000013
19380730,-0.000062,-0.000054
19380831,0.000052,0.000036
19380930,0.000184,0.000182
19381031,0.000112,0.000104
19381130,-0.000620,-0.000061
19381231,0.000091,0.000018
19390131,-0.000049,-0.000134
19390228,0.000090,0.000090
19390331,-0.000093,-0.000093
19390429,-0.000038,-0.000038
19390531,0.000091,0.000013
19390630,0.000013,0.000119
19390731,0.000005,0.000012
19390831,0.000022,-0.000057
19390930,0.000064,0.000099
19391031,0.000022,0.000022
19391130,0.000021,0.000021
19391230,0.000025,0.000021
19400131,0.000018,-0.000060
19400229,0.000000,0.000016
19400330,0.000086,0.000000
19400430,0.000009,-0.000147
19400531,-0.000098,-0.000153
19400629,0.000049,0.000041
19400731,0.000129,0.000036
19400831,-0.000061,-0.000061
19400930,0.000017,0.000017
19401031,0.000017,-0.000140
19401130,0.000017,0.000017
19401231,0.000009,-0.000147
19410131,-0.000069,-0.000069
19410228,-0.000092,-0.000075
19410331,-0.009308,0.000114
19410430,-0.000079,-0.000067
19410531,0.000043,0.000043
19410630,0.000075,0.000042
19410731,0.002262,0.000042
19410830,0.000067,0.000067
19410930,0.000110,0.000080
19411031,0.000026,0.000040
19411129,-0.000044,0.000049
19411231,0.000222,0.000156
19420131,0.000450,0.000178
19420228,0.000239,0.000111
19420331,0.000252,0.000108
19420430,0.000188,0.000068
19420529,0.000347,0.000161
19420630,0.000407,0.000249
19420731,0.000340,0.000252
19420831,0.000353,0.000307
19420930,0.000306,0.000281
19421031,0.000367,0.000343
19421130,0.000383,0.000300
19421231,0.000314,0.000254
19430130,0.000325,0.000295
19430227,0.000311,0.000263
19430331,0.000346,0.000276
19430430,0.000343,0.000292
19430529,0.000332,0.000284
19430630,0.000360,0.000276
19430731,0.000353,0.000291
19430831,0.000351,0.000307
19430930,0.000340,0.000258
19431030,0.000343,0.000283
19431130,0.000351,0.000307
19431231,0.000310,0.000258
19440131,0.000351,0.000293
19440229,0.000330,0.000289
19440331,0.000306,0.000238
19440429,0.000320,0.000277
19440531,0.000348,0.000261
19440630,0.000323,0.000288
19440731,0.000331,0.000293
19440831,0.000330,0.000246
19440930,0.000326,0.000237
19441031,0.000340,0.000309
19441130,0.000333,0.000240
19441230,0.000332,0.000240
19450131,0.000290,0.000264
19450228,0.000359,0.000224
19450331,0.000342,0.000248
19450430,0.000331,0.000286
19450531,0.000339,0.000248
19450630,0.000332,0.000240
19450731,0.000340,0.000309
19450831,0.000343,0.000240
19450929,0.000322,0.000279
19451031,0.000350,0.000309
19451130,0.000333,0.000240
19451231,0.000308,0.000319
19460131,0.000308,0.000291
19460228,0.000291,0.000272
19460330,0.000311,0.000288
19460430,0.000321,0.000309
19460531,0.000321,0.000291
19460628,0.000291,0.000272
19460731,0.000356,0.000319
19460830,0.000311,0.000290
19460930,0.000321,0.000295
19461031,0.000336,0.000291
19461130,0.000311,0.000288
19461231,0.000337,0.000309
19470131,0.000321,0.000260
19470228,0.000291,0.000271
19470331,0.000321,0.000295
19470430,0.000326,0.000291
19470529,0.000301,0.000282
19470630,0.000331,0.000304
19470731,0.000336,0.000291
19470829,0.000602,0.000276
19470930,0.000622,0.000295
19471031,0.000695,0.000613
19471128,0.000657,0.000626
19471231,0.000886,0.000798
19480130,0.000777,0.000726
19480227,0.000774,0.000723
19480331,0.000901,0.000889
19480430,0.000819,0.000817
19480528,0.000764,0.000761
19480630,0.000913,0.000926
19480730,0.000832,0.000818
19480831,0.001568,0.000922
19480930,0.000424,0.000855
19481029,0.000527,0.000393
19481130,0.000555,0.000983
19481231,-0.000293,0.000934
19490131,0.000976,0.000955
19490228,0.000897,0.000884
19490331,0.000984,0.000948
19490429,0.000930,0.000924
19490531,0.001012,0.001054
19490630,0.001065,0.000922
19490729,0.001002,0.000865
19490831,0.000900,0.000936
19490930,0.000856,0.000864
19491031,0.000939,0.000892
19491130,0.000817,0.000866
19491230,0.000971,0.000895
19500131,0.000913,0.000988
19500228,0.000879,0.000905
19500331,0.000976,0.000926
19500428,0.000834,0.000858
19500531,0.001082,0.001068
19500630,0.000979,0.000969
19500731,0.001010,0.000984
19500831,0.000806,0.000974
19500929,0.001034,0.001019
19501031,0.001201,0.001220
19501130,0.001073,0.001051
19501229,0.001151,0.001105
19510131,0.001253,0.001262
19510228,0.001075,0.001049
19510330,0.000934,0.001069
19510430,0.001416,0.001285
19510531,0.001304,0.001164
19510629,0.001126,0.001161
19510731,0.001412,0.001395
19510831,0.001392,0.001252
19510928,0.001304,0.001212
19511031,0.001904,0.001509
19511130,0.001297,0.001076
19511231,0.001153,0.001300
19520131,0.002112,0.001444
19520229,0.001254,0.001151
19520331,0.001564,0.001077
19520430,0.001136,0.001229
19520529,0.001308,0.001305
19520630,0.001524,0.001486
19520731,0.001489,0.001501
19520829,0.001622,0.001467
19520930,0.001968,0.001584
19521031,0.001890,0.001252
19521128,0.001180,0.001049
19521231,0.001861,0.001753
19530130,0.001970,0.001620
19530227,0.001351,0.001402
19530331,0.002046,0.001892
19530430,0.001441,0.001636
19530529,0.001915,0.001722
19530630,0.002714,0.001798
19530731,0.001670,0.001377
19530831,0.002225,0.001666
19530930,0.002425,0.001509
19531030,0.001955,0.001252
19531130,0.000652,0.000770
19531231,0.001628,0.001013
19540129,0.001829,0.001091
19540226,0.000952,0.000708
19540331,0.000918,0.000794
19540430,0.001332,0.000888
19540528,0.000815,0.000510
19540630,0.000776,0.000567
19540730,0.000371,0.000507
19540831,0.000314,0.000614
19540930,0.001022,0.000847
19541029,0.000986,0.000696
19541130,0.000931,0.000662
19541231,0.000976,0.000709
19550131,0.000682,0.000808
19550228,0.000595,0.000852
19550331,0.001182,0.000914
19550429,0.000899,0.001042
19550531,0.001955,0.001400
19550630,0.001210,0.000855
19550729,0.000774,0.001000
19550831,0.001220,0.001603
19550930,0.001686,0.001617
19551031,0.002037,0.001818
19551130,0.001688,0.001725
19551230,0.001934,0.001808
19560131,0.002550,0.002281
19560229,0.002262,0.001862
19560329,0.001923,0.001516
19560430,0.001502,0.001851
19560531,0.002634,0.002218
19560629,0.002410,0.001984
19560731,0.002648,0.001653
19560831,0.001711,0.001690
19560928,0.001799,0.001837
19561031,0.003338,0.002528
19561130,0.002210,0.002045
19561231,0.002446,0.002485
19570131,0.003171,0.002586
19570228,0.002372,0.002389
19570329,0.003218,0.002311
19570430,0.002674,0.002690
19570531,0.002295,0.002581
19570627,0.002556,0.002410
19570731,0.003310,0.002950
19570830,0.003254,0.002520
19570930,0.003057,0.002568
19571031,0.003445,0.002590
19571129,0.004135,0.002767
19571231,0.003400,0.002485
19580131,0.004450,0.002213
19580228,0.001564,0.001207
19580331,0.001380,0.000944
19580430,0.000783,0.000840
19580529,0.002366,0.001093
19580630,0.000183,0.000297
19580731,0.000567,0.000582
19580829,-0.001241,0.000448
19580930,0.002041,0.001774
19581031,0.003549,0.001427
19581128,0.001810,0.001089
19581231,0.002904,0.002148
19590130,0.002401,0.002051
19590227,0.002384,0.001882
19590331,0.002492,0.002153
19590430,0.002375,0.001941
19590529,0.002287,0.002189
19590630,0.002968,0.002519
19590731,0.003560,0.002192
19590831,0.001355,0.001861
19590930,0.002929,0.002915
19591030,0.005085,0.003015
19591130,0.003330,0.002554
19591231,0.004129,0.002525
19600129,0.004775,0.003318
19600229,0.003672,0.002863
19600331,0.005824,0.003240
19600429,0.002538,0.001944
19600531,0.002981,0.002699
19600630,0.004909,0.001920
19600729,0.002337,0.001330
19600831,0.002117,0.001632
19600930,0.001648,0.001578
19601031,0.003022,0.002156
19601130,0.001599,0.001293
19601230,0.002359,0.001553
19610131,0.002047,0.001940
19610228,0.001382,0.001649
19610330,0.002794,0.002012
19610428,0.002444,0.001746
19610531,0.002036,0.001774
19610630,0.002213,0.002008
19610731,0.002187,0.001824
19610831,0.001862,0.001358
19610929,0.002225,0.001677
19611031,0.002163,0.001921
19611130,0.001625,0.001607
19611229,0.001943,0.001864
19620131,0.002496,0.002348
19620228,0.002243,0.001989
19620330,0.002244,0.002007
19620430,0.002475,0.002278
19620531,0.002465,0.002296
19620629,0.001831,0.001937
19620731,0.002863,0.002727
19620831,0.002702,0.002180
19620928,0.002315,0.002072
19621031,0.002966,0.002533
19621130,0.002062,0.002021
19621231,0.002364,0.002519
19630131,0.002582,0.002512
19630228,0.002367,0.002260
19630329,0.002381,0.002262
19630430,0.002710,0.002661
19630531,0.002403,0.002430
19630628,0.002404,0.002282
19630731,0.002704,0.002784
19630830,0.002635,0.002484
19630930,0.002957,0.002755
19631031,0.002884,0.002919
19631129,0.002894,0.002659
19631231,0.003170,0.003060
19640131,0.003224,0.002866
19640228,0.002678,0.002636
19640331,0.003407,0.003298
19640430,0.003194,0.002904
19640528,0.002796,0.002570
19640630,0.003248,0.003136
19640731,0.003193,0.002808
19640831,0.003001,0.002772
19640930,0.002836,0.002686
19641030,0.003194,0.002997
19641130,0.002778,0.002915
19641231,0.003514,0.003040
19650129,0.002994,0.002915
19650226,0.002867,0.003198
19650331,0.003865,0.003486
19650430,0.003387,0.003118
19650528,0.003133,0.003283
19650630,0.003749,0.003380
19650730,0.003254,0.003218
19650831,0.003402,0.003309
19650930,0.003095,0.003114
19651029,0.003507,0.003391
19651130,0.003714,0.003380
19651231,0.002989,0.003126
19660131,0.003798,0.003630
19660228,0.003627,0.003481
19660331,0.004261,0.003795
19660429,0.003549,0.003638
19660531,0.004348,0.004043
19660630,0.004119,0.003672
19660729,0.003655,0.003847
19660831,0.004190,0.004119
19660930,0.003658,0.003890
19661031,0.005812,0.004389
19661130,0.004828,0.003932
19661230,0.004999,0.003630
19670131,0.004775,0.003927
19670228,0.003464,0.003743
19670331,0.004846,0.003693
19670428,0.003839,0.003344
19670531,0.004101,0.003126
19670630,0.002193,0.002674
19670731,0.003585,0.003153
19670831,0.003543,0.003240
19670929,0.003582,0.003177
19671031,0.004351,0.003649
19671130,0.003855,0.003416
19671229,0.004305,0.003565
19680131,0.005109,0.003934
19680229,0.003818,0.003849
19680329,0.003960,0.003977
19680430,0.004138,0.004263
19680531,0.004647,0.004672
19680628,0.005071,0.004436
19680731,0.005311,0.004790
19680830,0.004458,0.004476
19680930,0.004532,0.004203
19681031,0.004461,0.004394
19681129,0.004862,0.004457
19681231,0.003768,0.004249
19690131,0.005855,0.005025
19690228,0.005158,0.004619
19690328,0.005488,0.004802
19690430,0.005628,0.004859
19690529,0.004766,0.005215
19690630,0.005113,0.005137
19690731,0.005427,0.005520
19690829,0.005783,0.005890
19690930,0.006265,0.005856
19691031,0.006622,0.005724
19691128,0.005220,0.005509
19691231,0.006312,0.005846
19700130,0.007158,0.005781
19700227,0.007986,0.006167
19700331,0.007078,0.005542
19700430,0.005494,0.005286
19700529,0.006237,0.005546
19700630,0.007455,0.005546
19700731,0.005793,0.004886
19700831,0.005442,0.005020
19700930,0.006230,0.005034
19701030,0.005448,0.004954
19701130,0.006665,0.004489
19701231,0.004602,0.003786
19710129,0.005191,0.003777
19710226,0.004635,0.003344
19710331,0.003004,0.002924
19710430,0.002311,0.002804
19710528,0.002422,0.003127
19710630,0.003011,0.003505
19710730,0.004340,0.004272
19710831,0.006234,0.004446
19710930,0.003585,0.003630
19711029,0.004444,0.003855
19711130,0.003974,0.003506
19711231,0.005181,0.003152
19720131,0.004022,0.002850
19720229,0.002784,0.002659
19720330,0.002357,0.002590
19720428,0.003784,0.002962
19720531,0.003224,0.002942
